Client,Route_Name,Start_Point,End_Point,Route_Type,Pickup_Time,Departure_Time,Price_Excl_VAT,Capacity
Интернет-Решения,"OZON Гатчина (Штат Софийская, 118)","Софийская, 118 к.4 стр.1","Гатчина, Варшавский вокзал",1/2 круга,08:15:00,08:25:00,3100.0,20.0
Интернет-Решения,"OZON Гатчина (Штат Софийская, 118)","Софийская, 118 к.4 стр.1","Гатчина, Варшавский вокзал",1/2 круга,08:15:00,08:25:00,5250.0,35.0
Интернет-Решения,"OZON Гатчина (Штат Софийская, 118)","Гатчина, Варшавский вокзал","Софийская, 118 к.4 стр.1",1/2 круга,18:20:00,18:30:00,3100.0,20.0
Интернет-Решения,"OZON Гатчина (Штат Софийская, 118)","Гатчина, Варшавский вокзал","Софийская, 118 к.4 стр.1",1/2 круга,18:20:00,18:30:00,5250.0,35.0
Интернет-Решения,"OZON Гатчина (Штат Софийская, 118)","Софийская, 118 к.4 стр.1","Гатчина, Варшавский вокзал",1/2 круга,20:25:00,20:35:00,3100.0,20.0
Интернет-Решения,"OZON Гатчина (Штат Софийская, 118)","Софийская, 118 к.4 стр.1","Гатчина, Варшавский вокзал",1/2 круга,20:25:00,20:35:00,5250.0,35.0
Интернет-Решения,"OZON Красноармейская (Штат Софийская, 118)","2-я Красноармейская ул., 1","Софийская, 118 к.4 стр.1",Прямой,06:40:00,06:50:00,6000.0,20.0
Интернет-Решения,"OZON Красноармейская (Штат Софийская, 118)","2-я Красноармейская ул., 1","Софийская, 118 к.4 стр.1",Прямой,06:40:00,06:50:00,8000.0,55.0
Интернет-Решения,"OZON Красноармейская (Штат Софийская, 118)","Софийская, 118 к.4 стр.1","2-я Красноармейская ул., 1",1/2 круга,08:15:00,08:25:00,3000.0,20.0
Интернет-Решения,"OZON Красноармейская (Штат Софийская, 118)","2-я Красноармейская ул., 1","Софийская, 118 к.4 стр.1",1/2 круга,18:20:00,18:30:00,3000.0,20.0
Интернет-Решения,"OZON Красноармейская (Штат Софийская, 118)","Софийская, 118 к.4 стр.1","2-я Красноармейская ул., 1",Прямой,20:20:00,20:35:00,6000.0,20.0
Интернет-Решения,"OZON Красноармейская (Штат Софийская, 118)","Софийская, 118 к.4 стр.1","2-я Красноармейская ул., 1",Прямой,20:20:00,20:35:00,8000.0,55.0
Интернет-Решения,"OZON Рыбацкое (Штат Софийская, 118)","Ст.м. Рыбацкое, 3-й Рыбацкий проезд","Софийская, 118 к.4 стр.1",1/2 круга,07:00:00,07:10:00,1500.0,20.0
Интернет-Решения,"OZON Рыбацкое (Штат Софийская, 118)","Софийская, 118 к.4 стр.1","Ст.м. Рыбацкое, 3-й Рыбацкий проезд",1/2 круга,08:15:00,08:25:00,1500.0,20.0
Интернет-Решения,"OZON Рыбацкое (Штат Софийская, 118)","Ст.м. Рыбацкое, 3-й Рыбацкий проезд","Софийская, 118 к.4 стр.1",1/2 круга,18:45:00,18:55:00,1500.0,20.0
Интернет-Решения,"OZON Рыбацкое (Штат Софийская, 118)","Софийская, 118 к.4 стр.1","Ст.м. Рыбацкое, 3-й Рыбацкий проезд",1/2 круга,20:25:00,20:35:00,1500.0,20.0
