Template_ID,Customer_ID,Route_Name,Start_Point,End_Point,Route_Type,Pickup_Time,Departure_Time,Capacity,Price_Excl_VAT
553,5,Коломенский (Коммунар),"Коммунар, Ленинградское ш., 7А","Пушкин, Тиньков переулок, 7Д",1/2 круга,18:50:00,19:00:00,9.0,3500.0
554,3,ЛеманаПро (ст.м. Проспект Ветеранов),Ст.м. Проспект Ветеранов,"Московское ш., 177А",1/2 круга,18:50:00,19:00:00,40.0,3800.0
555,63,ЛСС,Аэродром Левашово,Ст.м. Озерки,Прямой,18:50:00,19:00:00,9.0,5000.0
556,4,Оптоган,"Таллинское ш., 206",Ст.м. Проспект Ветеранов,Прямой,19:00:00,19:00:00,20.0,3300.0
557,28,Резерв (Бронка),"Ломоносов, ж/д-ст. Бронка","пр. Александровской Фермы, 29Б",Прямой,18:50:00,19:00:00,19.0,5000.0
558,28,Резерв (Московский проспект),"Прогонная ул., 1","пр. Александровской Фермы, 29Б",Прямой,18:50:00,19:00:00,19.0,4000.0
559,29,СМУ-2,"пр. Энтузиастов, 44","пр. Стачек, 67к7",Прямой,18:50:00,19:00:00,15.0,5000.0
560,29,СМУ-2 (Парнас),"Парнас, 3-й Верхний переулок, 11","пр. Стачек, 67к7",Прямой,18:50:00,19:00:00,6.0,5833.333333333334
561,29,СМУ-2 (Репино),"п.Репино, Спасо-Преображенская улица, 36 А","пр. Стачек, 67к7",Прямой,18:50:00,19:00:00,6.0,8333.33333333333
562,58,Стоун Айленд,"Токсово, Зубровник (напротив)",Ст.м. Проспект Просвещения,Прямой,18:50:00,19:00:00,19.0,5491.8
563,31,Тим-Профи,"Московское ш., 115с4","Шушары, Школьная ул., 81",Прямой,18:50:00,19:00:00,19.0,2291.666666666667
564,31,Тим-Профи,"Московское ш., 115с4","Шушары, Новгородский проспект, 2к1",Прямой,18:50:00,19:00:00,50.0,3750.0
565,31,Тим-Профи,"Московское ш., 115с4","Шушары, Школьная ул., 81",Прямой,18:50:00,19:00:00,50.0,3750.0
566,31,Тим-Профи,"Тамбовская ул., 80",Витебский пр./ Шушарская дорога,Прямой,18:50:00,19:00:00,50.0,4500.0
567,32,Формация (Ст.м. Беговая),Ст.м. Беговая,"Горское шоссе, д. 169 (через ЗСД)",Прямой,18:50:00,19:00:00,40.0,
568,32,Формация (Ст.м. Беговая),Ст.м. Беговая,"Горское шоссе, д. 169 (через ЗСД)",1/2 круга,18:50:00,19:00:00,40.0,
569,72,Хонор,"Московское ш., 117с1","Софийская, 118 к.4 стр.3",Прямой,18:50:00,19:00:00,20.0,3333.33
570,10,OZON Бугры (ст.м. Девяткино),Ст.м. Девяткино,"Бугры, Шоссейная ул., 50к1",1/2 круга,18:50:00,19:00:00,55.0,3500.0
571,9,OZON Ветеранов,Ст.м. Проспект Ветеранов,"Московское ш., 145с10",1/2 круга,18:50:00,19:00:00,20.0,4200.0
572,9,OZON Ветеранов,Ст.м. Проспект Ветеранов,"Московское ш., 145с10",1/2 круга,18:50:00,19:00:00,50.0,3500.0
573,19,OZON ЛЦ Волхонское (Красное село),"Красное село, проспект Ленина, 108","Волхонское шоссе, 108",1/2 круга,18:50:00,19:00:00,50.0,4500.0
